ID,Phone,Net Model,Model Median,Model mAP
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,MobileNetV1,27261577,18.0
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,YOLOv5s,99661576,37.2
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,MobileNetV2,11751923,22.0
SnvtClosmePOSuryR6dE,POCO X3 Pro,MobileNetV3,46599843,22.6
SnvtClosmePOSuryR6dE,POCO X3 Pro,MobileNetV1,18215182,18.0
SnvtClosmePOSuryR6dE,POCO X3 Pro,YOLOv5s,63431510,37.2
SnvtClosmePOSuryR6dE,POCO X3 Pro,MobileNetV2,7716770,22.0
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,MobileNetV3,207892577,22.6
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,MobileNetV1,118335518,18.0
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,YOLOv5s,385206096,37.2
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,MobileNetV2,43290769,22.0
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,MobileNetV3,60345729,22.6
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,MobileNetV1,22929401,18.0
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,YOLOv5s,84150573,37.2
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,MobileNetV2,9863906,22.0
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,MobileNetV3,153798538,22.6
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,MobileNetV1,85845826,18.0
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,YOLOv5s,281822730,37.2
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,MobileNetV2,31451038,22.0
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,MobileNetV3,42052173,22.6
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,MobileNetV1,15072461,18.0
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,YOLOv5s,56480634,37.2
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,MobileNetV2,5584346,22.0
